name,is_fiscal_paradise,code,id
LIBERIA,0,410,tax_country_410
MADAGASCAR,0,412,tax_country_412
MALAWI,0,413,tax_country_413
MALI,0,414,tax_country_414
MARRUECOS,0,415,tax_country_415
MAURITANIA,0,416,tax_country_416
NIGERIA,0,417,tax_country_417
ZIMBABWE (RHODESIA),0,419,tax_country_419
SENEGAL,0,420,tax_country_420
SUDAN,0,421,tax_country_421
SUDAFRICA  (CISKEI),0,422,tax_country_422
SIERRA LEONA,0,423,tax_country_423
TANZANIA,0,425,tax_country_425
UGANDA,0,426,tax_country_426
ZAMBIA,0,427,tax_country_427
ÅLAND ISLANDS,0,428,tax_country_428
BENIN,0,429,tax_country_429
BOTSWANA,0,430,tax_country_430
REPUBLICA CENTROAFRICANA,0,431,tax_country_431
COSTA DE MARFIL,0,432,tax_country_432
CHAD,0,433,tax_country_433
EGIPTO,0,434,tax_country_434
GABON,0,435,tax_country_435
GHANA,0,436,tax_country_436
GUINEA-BISSAU,0,437,tax_country_437
GUINEA ECUATORIAL,0,438,tax_country_438
KENIA,0,439,tax_country_439
LESOTHO,0,440,tax_country_440
MAURICIO,0,441,tax_country_441
MOZAMBIQUE,0,442,tax_country_442
MAYOTTE,0,443,tax_country_443
NIGER,0,444,tax_country_444
RWANDA,0,445,tax_country_445
SEYCHELLES,0,446,tax_country_446
SAHARA OCCIDENTAL,0,447,tax_country_447
SOMALIA,0,448,tax_country_448
SANTO TOME Y PRINCIPE,0,449,tax_country_449
SWAZILANDIA,0,450,tax_country_450
TOGO,0,451,tax_country_451
TUNEZ,0,452,tax_country_452
ZAIRE,0,453,tax_country_453
ANGOLA,0,454,tax_country_454
CABO VERDE,0,456,tax_country_456
COMORAS,0,458,tax_country_458
DJIBOUTI,0,459,tax_country_459
NAMIBIA,0,460,tax_country_460
ERITREA,0,463,tax_country_463
MOROCCO,0,464,tax_country_464
REUNION,0,465,tax_country_465
SANTA ELENA,1,466,tax_country_466
JERSEY,0,499,tax_country_499
AUSTRALIA,0,501,tax_country_501
NUEVA ZELANDA,0,503,tax_country_503
SAMOA OCCIDENTAL,0,504,tax_country_504
FIJI,0,506,tax_country_506
PAPUA NUEVA GUINEA,0,507,tax_country_507
TONGA,0,508,tax_country_508
PALAO  (BELAU)  ISLAS,0,509,tax_country_509
KIRIBATI,0,510,tax_country_510
MARSHALL ISLAS,0,511,tax_country_511
MICRONESIA,0,512,tax_country_512
NAURU,0,513,tax_country_513
SALOMON  ISLAS,0,514,tax_country_514
TUVALU,0,515,tax_country_515
VANUATU,0,516,tax_country_516
GUAM,1,517,tax_country_517
ISLAS COCOS (KEELING),1,518,tax_country_518
ISLAS COOK,1,519,tax_country_519
ISLAS NAVIDAD,1,520,tax_country_520
MIDWAY ISLAS,0,521,tax_country_521
NIUE ISLA,0,522,tax_country_522
NORFOLK ISLA,0,523,tax_country_523
NUEVA  CALEDONIA,0,524,tax_country_524
"PITCAIRN, ISLA",0,525,tax_country_525
POLINESIA FRANCESA,0,526,tax_country_526
TIMOR DEL ESTE,0,529,tax_country_529
TOKELAI,0,530,tax_country_530
WAKE ISLA,0,531,tax_country_531
"WALLIS Y FUTUNA, ISLAS",0,532,tax_country_532
SINT MAARTEN (DUTCH PART),0,534,tax_country_534
SAINT BARTHELEMY,0,590,tax_country_590
ECUADOR,0,593,tax_country_593
AGUAS INTERNACIONALES,0,594,tax_country_594
ALTO VOLTA,0,595,tax_country_595
BIELORRUSIA,0,596,tax_country_596
COTE D'IVOIRE,0,597,tax_country_597
CYPRUS,0,598,tax_country_598
REPUBLICA CHECA,0,599,tax_country_599
FALKLAND ISLANDS,0,600,tax_country_600
LATVIA,0,601,tax_country_601
LIBIA,0,602,tax_country_602
NORTHERN MARIANA ISL,0,603,tax_country_603
ST. PIERRE AND MIQUE,0,604,tax_country_604
SYRIAN ARAB REPUBLIC,0,605,tax_country_605
TERRITORIO ANTARTICO BRITANICO,0,606,tax_country_606
TERRITORIO BRITANICO OCEANO IN,0,607,tax_country_607
SERBIA,0,688,tax_country_688
GUERNSEY,0,831,tax_country_831
ISLE OF MAN,1,833,tax_country_833
